Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	0.000230148	0.0164755	0.1315081	0.2113276	0.2362772	0.2463362
0.005	0.000237649	0.01679188	0.1320016	0.2108928	0.2360456	0.24626
0.01	0.000243048	0.01695792	0.1319996	0.2101504	0.2357728	0.2463144
0.015	0.000242352	0.01676696	0.1309756	0.209016	0.235366	0.2463488
0.02	0.000223787	0.01564504	0.1284337	0.2073578	0.2346206	0.2460908
0.025	0.000185057	0.0134855	0.1240414	0.2051954	0.2335458	0.2454558
0.03	0.000151152	0.0115138	0.11887	0.20298	0.232596	0.244934
0.035	0.000129294	0.0100982	0.113734	0.200858	0.231798	0.24484
0.04	0.000111386	0.0088668	0.108572	0.198672	0.231216	0.244934
0.045	9.624e-05	0.0077968	0.103438	0.196764	0.23089	0.244764
0.05	8.3219e-05	0.0068702	0.098426	0.195194	0.230416	0.244558
0.055	7.27e-05	0.0060856	0.093392	0.19312	0.229732	0.244306
0.06	6.4077e-05	0.0054138	0.088326	0.190522	0.22897	0.243608
0.065	5.6199e-05	0.0048134	0.083412	0.18796	0.227746	0.242702
0.07	4.9884e-05	0.004297	0.078614	0.185072	0.226092	0.24204
0.075	4.5465e-05	0.0038784	0.073908	0.18187	0.22474	0.24154
0.08	4.142e-05	0.0035138	0.069356	0.17896	0.22354	0.2409
0.085	3.7495e-05	0.0031894	0.065016	0.17624	0.22226	0.24028
0.09	3.453e-05	0.0029284	0.060824	0.17318	0.22098	0.23954
0.095	3.229e-05	0.0027094	0.056756	0.16992	0.21976	0.23882
0.1	3.0239e-05	0.0025058	0.052886	0.16664	0.2186	0.23824
0.105	2.8663e-05	0.0023318	0.049294	0.16336	0.21742	0.23768
0.11	2.7621e-05	0.0021898	0.04593	0.1601	0.21614	0.23722
0.115	2.6535e-05	0.0020662	0.042702	0.15686	0.21488	0.2369
0.12	2.4308e-05	0.00196	0.039668	0.15356	0.21368	0.23642
0.125	2.2327e-05	0.0018748	0.036892	0.1501	0.21234	0.23576
0.13	2.2636e-05	0.0018094	0.034322	0.14654	0.21084	0.23524
0.135	2.3317e-05	0.001753	0.031938	0.14286	0.20924	0.23454
0.14	2.3142e-05	0.0017	0.02978	0.13918	0.2076	0.23368
0.145	2.372e-05	0.0016626	0.028054	0.13546	0.20588	0.2329
0.15	2.436e-05	0.0016298	0.026744	0.13164	0.20412	0.23212
0.155	2.312e-05	0.0015796	0.025288	0.12766	0.20226	0.23116
0.16	2.156e-05	0.0015354	0.023734	0.12356	0.20042	0.2302
0.165	2.128e-05	0.0015114	0.022426	0.11956	0.19874	0.22942
0.17	2.136e-05	0.0014906	0.02095	0.1157	0.19702	0.22872
0.175	2.132e-05	0.0014716	0.019216	0.11186	0.19518	0.228
0.18	2.158e-05	0.001461	0.01792	0.10808	0.19344	0.22724
0.185	2.174e-05	0.0014564	0.01706	0.1043	0.19162	0.22652
0.19	2.136e-05	0.0014522	0.01624	0.10038	0.18954	0.2257
0.195	2.128e-05	0.0014332	0.01552	0.09642	0.18742	0.22468
0.2	2.17e-05	0.0014054	0.01492	0.09256	0.18524	0.2237
0.205	2.17e-05	0.001397	0.01436	0.0888	0.1829	0.22288
0.21	2.142e-05	0.0013976	0.01376	0.08508	0.18056	0.2219
0.215	2.154e-05	0.0013902	0.01314	0.08144	0.17828	0.22074
0.22	2.178e-05	0.0013868	0.01264	0.07778	0.17574	0.21952
0.225	2.144e-05	0.0013924	0.0123	0.07416	0.1731	0.21832
0.23	2.076e-05	0.0013872	0.01198	0.07076	0.17058	0.21718
0.235	2.062e-05	0.001375	0.01164	0.06754	0.16802	0.21604
0.24	2.112e-05	0.0013734	0.0114	0.06436	0.16536	0.21494
0.245	2.168e-05	0.0013728	0.01124	0.06132	0.16274	0.21394
0.25	2.194e-05	0.0013652	0.01106	0.05844	0.16014	0.21284
0.255	2.226e-05	0.0013584	0.01084	0.05558	0.15744	0.21154
0.26	2.25e-05	0.0013568	0.01062	0.05276	0.15466	0.21024
0.265	2.192e-05	0.001351	0.01042	0.05002	0.15172	0.20894
0.27	2.132e-05	0.0013474	0.0102	0.04752	0.14868	0.2076
0.275	2.15e-05	0.0013556	0.00996	0.04526	0.14558	0.20606
0.28	2.146e-05	0.00136	0.0098	0.0431	0.14244	0.20448
0.285	2.134e-05	0.0013498	0.00972	0.04112	0.13926	0.20298
0.29	2.19e-05	0.001342	0.00962	0.03934	0.13614	0.20148
0.295	2.252e-05	0.001341	0.00952	0.03758	0.1331	0.2
0.3	2.28e-05	0.001332	0.00938	0.0358	0.13	0.19858
0.305	2.296e-05	0.0013326	0.00922	0.0341	0.1268	0.19716
0.31	2.31e-05	0.0013486	0.00914	0.03258	0.12346	0.19556
0.315	2.31e-05	0.0013594	0.00906	0.03126	0.12006	0.19376
